group,team
A,Mexico
A,South Korea
A,South Africa
A,Czechia
B,Canada
B,Switzerland
B,Qatar
B,Bosnia and Herzegovina
C,Brazil
C,Morocco
C,Scotland
C,Haiti
D,United States
D,Paraguay
D,Australia
D,Turkey
E,Germany
E,Ecuador
E,Ivory Coast
E,Curacao
F,Netherlands
F,Japan
F,Tunisia
F,Sweden
G,Belgium
G,Iran
G,Egypt
G,New Zealand
H,Spain
H,Uruguay
H,Saudi Arabia
H,Cape Verde
I,France
I,Senegal
I,Norway
I,Iraq
J,Argentina
J,Austria
J,Algeria
J,Jordan
K,Portugal
K,Colombia
K,Uzbekistan
K,DR Congo
L,England
L,Croatia
L,Panama
L,Ghana
